name,category,region,country,address,lat,lon,phone,email,website,website_live,facebook,instagram,whatsapp,linkedin,rating,review_count,completeness_score,lead_score,industry_priority,recommended_service,source,scraped_at
Fahed Supermarket - Jounieh,supermarket,Mount Lebanon,LB,"La Cite، Jounieh, Lebanon",33.984955299999996,35.6348312,+9619934433,,,,,,,,3.9,883,2,38,medium,"RTYLR commerce OS (POS, online ordering, CRM)",google_places|osm,2026-05-04T13:12:10.493892Z
Hopital des Soeurs du Rosaire,hospital,Beirut,LB,"VGW8+837, Beirut, Lebanon",33.8957958,35.5151822,+9611440800,info@hopitalrosaire.org,http://www.hopitalrosaire.org/,True,,hopitalrosaire.org,,,4.2,56,5,68,medium,Digital marketing retainer (Meta + Google + content),google_places|osm,2026-05-04T13:12:10.493892Z
مستشفى الإقليم المركزي,hospital,Mount Lebanon,LB,,33.6139536,35.4721675,+9617970777,,,,,,,,,,1,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
روسّا كافيه,cafe,Beirut,LB,,33.8952284,35.484735,+9611343339,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
ستاربكس,cafe,Beirut,LB,,33.8956032,35.4830661,+9611744305,,https://www.starbucks.com/,True,,starbucks,,,,,3,50,high,SEO audit + visibility upgrade,osm,2026-05-04T13:12:10.490486Z
صيدلية قاروط,pharmacy,Beirut,LB,,33.875686,35.4974978,+9611306099,,,,,,,,,,1,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
حنيني,pharmacy,Beirut,LB,بيروت,33.8736312,35.5000326,+9611819110,,,,,,,,,,2,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
مطعم الشمس,restaurant,Bekaa,LB,"Anjar Main Road, Anjar",33.7293791,35.9272457,+9618620568,,,,,,,,,,2,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
عبدالرحمان الحلاب,bakery,North Lebanon,LB,Tripoli,34.4374808,35.8336931,+9616444445,,https://www.hallab.com.lb/,True,,arhallab1881,,https://linkedin.com/company/hallab1881,,,5,43,medium,SEO audit + visibility upgrade,osm,2026-05-04T13:12:10.490486Z
أوتيل ماربل تاور,hotel,Beirut,LB,شارع نعمة يافت,33.8966863,35.4802065,+9611354586,info@marbletowerhotel.com,http://www.marbletowerhotel.com,True,,,,,,,4,60,high,SEO audit + visibility upgrade,osm,2026-05-04T13:12:10.490486Z
Nini Hospital,hospital,North Lebanon,LB,"El Maarad, Tarablus, Lebanon",34.4355717,35.8305106,+9616431400,,http://hopitalnini.com/,True,,hopitalnini,,https://linkedin.com/company/6988820,3.3,118,5,58,medium,Reputation + SEO turnaround,google_places|osm,2026-05-04T13:12:10.493892Z
أفران شمسين,bakery,Mount Lebanon,LB,طريق البحر السريع,33.7765746,35.4716779,+9615800658,,http://www.chamsine.net,True,,,,,,,3,33,medium,SEO audit + visibility upgrade,osm,2026-05-04T13:12:10.490486Z
Aida Pharmacy,pharmacy,Mount Lebanon,LB,Debbiyeh,33.6828717,35.4748587,+9617985662,,,,,,,,,,2,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
صيدلية الوردية,pharmacy,Mount Lebanon,LB,,33.8005793,35.4861194,+9615806608,,,,,,,,,,1,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
باب الميناء,restaurant,North Lebanon,LB,,34.1218287,35.6439216,+9619540475,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
Saydet Zgharta Hospital,hospital,North Lebanon,LB,زغرتا,34.3996522,35.8856898,+9616660575,,http://www.ehdenz.com,True,,,,,,,3,33,medium,SEO audit + visibility upgrade,osm,2026-05-04T13:12:10.490486Z
أوتيل بيفيو,hotel,Beirut,LB,,33.9015855,35.4910599,+9611373090,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
Byblos Comfort Hotel,hotel,North Lebanon,LB,جبيل,34.123963,35.6481661,+9619942200,info@bybloscomforthotel.com,,,,,,,,,3,50,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
حاج سوبرستور,supermarket,North Lebanon,LB,,34.1205801,35.6509154,+9619546000,,,,,,,,,,1,23,medium,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
نزل مار ميخائيل,hostel,Mount Lebanon,LB,معاصر الشوف,33.6671352,35.6716396,+96153504519615350452,,,,,,,,,,2,30,high,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
فندق الباروك بالاس,hotel,Mount Lebanon,LB,,33.7123376,35.6902985,+9615240251,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
فندق إيريس فلور,hotel,South Lebanon,LB,Jezzine,33.5407869,35.5846962,+9617781999,,,,,,,,,,2,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
الرامي,restaurant,Mount Lebanon,LB,,33.8361609,35.7396675,+9615531694,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
مطعم أبو نعيم,restaurant,Beirut,LB,"12, شارع عمر بن عبد العزيز, بيروت",33.8952358,35.4834994,+9611750480,,https://www.facebook.com/AbuNaimHamra,True,,media,,,,,4,50,high,SEO audit + visibility upgrade,osm,2026-05-04T13:12:10.490486Z
Sabis Adma,school,Mount Lebanon,LB,,34.0234982,35.6378846,+9619854154,,,,,,,,,,1,23,medium,Full digital launch (brand + website + social setup),osm,2026-05-04T13:12:10.490486Z
Tavolina,restaurant,Beirut,LB,,33.8971463,35.5243323,+9611442244,,,,,,,,,,1,30,high,"RTYLR commerce OS (POS, online ordering, CRM)",osm,2026-05-04T13:12:10.490486Z
